"Ano","ID.IBGE","Localidade","ice_emprego","Empregos","Massa.Salarial","Renda.Mensal.Média","Distância.média","Ganho.de.oportunidade.médio","rank"
2006,11,"Rondônia",-0.72,"228 Mil","R$ 256 Milhões","R$ 1,12 Mil","0,867","0,201",21
2006,12,"Acre",-1.184,"85,6 Mil","R$ 107 Milhões","R$ 1,25 Mil","0,935","0,147",27
2006,13,"Amazonas",1.276,"439 Mil","R$ 564 Milhões","R$ 1,28 Mil","0,803","0,072",3
2006,14,"Roraima",-0.767,"36,7 Mil","R$ 55,3 Milhões","R$ 1,51 Mil","0,903","0,169",22
2006,15,"Pará",-0.718,"739 Mil","R$ 716 Milhões","R$ 970","0,802","0,263",20
2006,16,"Amapá",-1.112,"78,5 Mil","R$ 121 Milhões","R$ 1,54 Mil","0,924","0,16",25
2006,17,"Tocantins",-1.115,"186 Mil","R$ 192 Milhões","R$ 1,03 Mil","0,904","0,18",26
2006,21,"Maranhão",-0.966,"437 Mil","R$ 387 Milhões","R$ 884","0,846","0,237",23
2006,22,"Piauí",-1.053,"293 Mil","R$ 259 Milhões","R$ 884","0,879","0,208",24
2006,23,"Ceará",0.186,"989 Mil","R$ 853 Milhões","R$ 862","0,812","0,175",9
2006,24,"Rio Grande do Norte",-0.189,"475 Mil","R$ 451 Milhões","R$ 949","0,845","0,186",14
2006,25,"Paraíba",-0.327,"451 Mil","R$ 384 Milhões","R$ 852","0,877","0,168",16
2006,26,"Pernambuco",0.256,"1,16 Milhão","R$ 1,08 Bilhão","R$ 927","0,77","0,192",8
2006,27,"Alagoas",-0.541,"393 Mil","R$ 349 Milhões","R$ 889","0,886","0,172",17
2006,28,"Sergipe",-0.139,"302 Mil","R$ 321 Milhões","R$ 1,06 Mil","0,883","0,156",13
2006,29,"Bahia",0.092,"1,68 Milhão","R$ 1,65 Bilhão","R$ 982","0,77","0,209",12
2006,31,"Minas Gerais",0.33,"3,74 Milhões","R$ 3,77 Bilhões","R$ 1,01 Mil","0,692","0,228",7
2006,32,"Espírito Santo",0.11,"707 Mil","R$ 765 Milhões","R$ 1,08 Mil","0,738","0,229",11
2006,33,"Rio de Janeiro",1.935,"3,37 Milhões","R$ 4,72 Bilhões","R$ 1,4 Mil","0,659","-0,002",2
2006,35,"São Paulo",2.793,"10,3 Milhões","R$ 14,9 Bilhões","R$ 1,44 Mil","0,367","-0,281",1
